Device,Test Name,Test Status,Message(s),Test description,Test category
CA1-SPINE1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
CA1-SPINE1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
CA1-SPINE1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
CA1-SPINE1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
CA1-SPINE1,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on cEOSLab,Verifies there are no interface storm-control drop counters.,Interfaces
CA1-SPINE1,VerifyMlagConfigSanity,skipped,MLAG is disabled,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
CA1-SPINE1,VerifyMlagInterfaces,skipped,MLAG is disabled,Verifies there are no inactive or active-partial MLAG ports.,MLAG
CA1-SPINE1,VerifyMlagReloadDelay,skipped,MLAG is disabled,Verifies the reload-delay parameters of the MLAG configuration.,MLAG
CA1-SPINE1,VerifyMlagStatus,skipped,MLAG is disabled,Verifies the health status of the MLAG configuration.,MLAG
CA1-SPINE1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
CA1-SPINE1,VerifyAPIHttpStatus,success,,Verifies if eAPI HTTP server is disabled globally.,Security
CA1-SPINE1,VerifyAPISSLCertificate,success,,"Verifies the eAPI SSL certificate expiry, common subject name, encryption algorithm and key size.",Security
CA1-SPINE1,VerifyEOSVersion,failure,"EOS version mismatch - Actual: 4.34.3M-44102239.4343M (engineering build) not in Expected: 4.33.2F, 4.32.5M, 4.33.2F-40713977.4332F (engineering build)",Verifies the EOS version of the device.,Software
CA1-SPINE1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
CA1-SPINE1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
CA1-SPINE1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
CA1-SPINE1,VerifyCPUUtilization,failure,Device has reported a high CPU utilization -  Expected: < 75% Actual: 96.0%,Verifies whether the CPU utilization is below 75%.,System
CA1-SPINE1,VerifyCoredump,success,,Verifies there are no core dump files.,System
CA1-SPINE1,VerifyCoredump,success,,Verifies there are no core dump files.,System
CA1-SPINE1,VerifyFileSystemUtilization,failure,Mount point: overlay         916G  832G   38G  96% / - Higher disk space utilization - Expected: 75% Actual: 96% - Mount point: /dev/sda2       916G  832G   38G  96% /mnt/flash - Higher disk space utilization - Expected: 75% Actual: 96%,Verifies that no partition is utilizing more than 75% of its disk space.,System
CA1-SPINE1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
CA1-SPINE1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
CA1-SPINE1,VerifyNTP,success,,Verifies if NTP is synchronised.,System
CA1-SPINE1,VerifyNTP,success,,Verifies if NTP is synchronised.,System
CA1-SPINE1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
CA1-SPINE1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
CA1-SPINE1,VerifyUptime,success,,Verifies the device uptime.,System
CA1-SPINE2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
CA1-SPINE2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
CA1-SPINE2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
CA1-SPINE2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
CA1-SPINE2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
CA1-SPINE2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
CA1-SPINE2,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on cEOSLab,Verifies the status of power supply fans and all fan trays.,Hardware
CA1-SPINE2,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on cEOSLab,Verifies the power supplies state and input voltage.,Hardware
CA1-SPINE2,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on cEOSLab,Verifies the device's system cooling status.,Hardware
CA1-SPINE2,VerifyTemperature,skipped,VerifyTemperature test is not supported on cEOSLab,Verifies if the device temperature is within acceptable limits.,Hardware
CA1-SPINE2,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on cEOSLab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
CA1-SPINE2,VerifyInterfaceDiscards,failure,Interface: Management0 - Non-zero discard counter(s): inDiscards: 3538,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
CA1-SPINE2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
CA1-SPINE2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
CA1-SPINE2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
CA1-SPINE2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
CA1-SPINE2,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on cEOSLab,Verifies there are no interface storm-control drop counters.,Interfaces
CA1-SPINE2,VerifyMlagConfigSanity,skipped,MLAG is disabled,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
CA1-SPINE2,VerifyMlagInterfaces,skipped,MLAG is disabled,Verifies there are no inactive or active-partial MLAG ports.,MLAG
CA1-SPINE2,VerifyMlagReloadDelay,skipped,MLAG is disabled,Verifies the reload-delay parameters of the MLAG configuration.,MLAG
CA1-SPINE2,VerifyMlagStatus,skipped,MLAG is disabled,Verifies the health status of the MLAG configuration.,MLAG
CA1-SPINE2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
CA1-SPINE2,VerifyAPIHttpStatus,success,,Verifies if eAPI HTTP server is disabled globally.,Security
CA1-SPINE2,VerifyAPISSLCertificate,success,,"Verifies the eAPI SSL certificate expiry, common subject name, encryption algorithm and key size.",Security
CA1-SPINE2,VerifyEOSVersion,failure,"EOS version mismatch - Actual: 4.34.3M-44102239.4343M (engineering build) not in Expected: 4.33.2F, 4.32.5M, 4.33.2F-40713977.4332F (engineering build)",Verifies the EOS version of the device.,Software
CA1-SPINE2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
CA1-SPINE2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
CA1-SPINE2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
CA1-SPINE2,VerifyCPUUtilization,success,,Verifies whether the CPU utilization is below 75%.,System
CA1-SPINE2,VerifyCoredump,success,,Verifies there are no core dump files.,System
CA1-SPINE2,VerifyCoredump,success,,Verifies there are no core dump files.,System
CA1-SPINE2,VerifyFileSystemUtilization,failure,Mount point: overlay         916G  832G   38G  96% / - Higher disk space utilization - Expected: 75% Actual: 96% - Mount point: /dev/sda2       916G  832G   38G  96% /mnt/flash - Higher disk space utilization - Expected: 75% Actual: 96%,Verifies that no partition is utilizing more than 75% of its disk space.,System
CA1-SPINE2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
CA1-SPINE2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
CA1-SPINE2,VerifyNTP,success,,Verifies if NTP is synchronised.,System
CA1-SPINE2,VerifyNTP,success,,Verifies if NTP is synchronised.,System
CA1-SPINE2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
CA1-SPINE2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
CA1-SPINE2,VerifyUptime,success,,Verifies the device uptime.,System
